Date,Hour,Time of Day,Channel,Service Type,Ad Spend,Conversions,Revenue,Customer Type
2024-09-23,10,Morning,Phone,Basic,10.26,2,19.35,Returning
2024-08-09,19,Evening,Phone,Basic,56.83,1,115.11,New
2025-01-01,14,Afternoon,Walk-in,Basic,70.72,7,850.57,Returning
2024-12-07,13,Afternoon,Phone,Premium,50.69,4,269.09,New
2024-12-08,8,Morning,Phone,Deluxe,15.46,4,104.98,Returning
2024-11-24,21,Night,Walk-in,Basic,35.25,2,172.72,Returning
2025-01-20,18,Evening,Social Media,Premium,25.03,4,162.85,New
2024-08-12,19,Evening,Phone,Basic,60.12,3,313.59,Returning
2025-01-06,13,Afternoon,Walk-in,Basic,29.43,3,87.13,New
2025-01-07,14,Afternoon,Online,Deluxe,80.87,2,165.68,New
2025-02-02,12,Afternoon,Online,Basic,45.89,3,182.43,New
2025-01-23,21,Night,Online,Deluxe,96.32,3,578.5,New
2024-11-20,9,Morning,Walk-in,Basic,94.63,3,470.83,Returning
2024-06-15,8,Morning,Online,Basic,77.36,5,498.88,New
2025-01-01,21,Night,Walk-in,Premium,44.31,3,317.83,Returning
2025-03-08,16,Afternoon,Online,Basic,86.48,4,695.46,Returning
2024-06-08,18,Evening,Online,Deluxe,65.65,5,681.35,New
2024-06-15,18,Evening,Online,Deluxe,37.14,5,226.27,New
2025-01-21,12,Afternoon,Walk-in,Basic,72.22,3,318.47,Returning
2024-07-30,9,Morning,Online,Basic,47.93,4,156.21,Returning
2024-08-20,11,Morning,Phone,Deluxe,86.66,3,346.43,Returning
2024-12-07,13,Afternoon,Online,Basic,87.58,1,218.15,New
2025-03-26,15,Afternoon,Phone,Deluxe,80.56,5,747.64,Returning
2024-09-17,17,Evening,Social Media,Premium,15.71,2,58.68,New
2025-04-09,15,Afternoon,Phone,Basic,41.1,2,130.14,New
2024-09-05,14,Afternoon,Phone,Premium,56.93,6,514.22,Returning
2025-03-27,14,Afternoon,Walk-in,Premium,32.24,0,0,New
2024-06-19,17,Evening,Online,Deluxe,72.41,1,92.91,Returning
2024-09-05,21,Night,Online,Basic,16.49,1,34.82,Returning
2024-09-26,13,Afternoon,Online,Premium,9.44,3,54.32,New
2025-02-09,14,Afternoon,Walk-in,Deluxe,37.7,2,114.04,Returning
2024-09-24,12,Afternoon,Walk-in,Premium,69.49,3,499.92,Returning
2024-05-23,19,Evening,Walk-in,Deluxe,67.24,4,269.62,New
2024-05-19,18,Evening,Online,Premium,46.28,2,107.75,New
2025-04-02,19,Evening,Phone,Premium,61.37,1,93.11,Returning
2024-05-09,15,Afternoon,Phone,Premium,95.31,5,553.42,Returning
2025-01-26,8,Morning,Walk-in,Deluxe,88.36,7,1228.95,New
2024-09-23,13,Afternoon,Online,Basic,97.53,0,0,Returning
2024-10-06,18,Evening,Walk-in,Deluxe,68.45,2,322.89,Returning
2024-10-02,8,Morning,Online,Premium,22.55,2,52.68,New
2024-05-09,12,Afternoon,Online,Basic,44.43,4,338.63,New
2025-03-11,11,Morning,Online,Basic,9.81,7,108.66,Returning
2024-12-31,17,Evening,Online,Basic,37.24,2,116.06,New
2025-04-02,8,Morning,Online,Basic,9.57,4,73.12,New
2024-12-18,19,Evening,Walk-in,Premium,84.37,6,417.14,New
2025-01-26,10,Morning,Online,Premium,17,3,92.64,Returning
2024-08-18,20,Evening,Online,Premium,68.29,1,124.11,New
2024-11-28,13,Afternoon,Walk-in,Deluxe,15.79,1,33.53,Returning
2024-05-21,10,Morning,Walk-in,Deluxe,53.18,1,97.94,Returning
2024-09-23,19,Evening,Phone,Premium,92.47,6,1322.35,New
2025-04-26,18,Evening,Walk-in,Deluxe,14.71,5,137.08,Returning
2025-01-17,9,Morning,Online,Deluxe,53.08,5,540.56,Returning
2024-05-29,15,Afternoon,Online,Basic,50.86,4,204.89,Returning
2025-03-31,9,Morning,Online,Basic,93.8,4,609.13,New
2024-10-07,19,Evening,Phone,Premium,9.62,5,117.94,New
2025-04-19,10,Morning,Phone,Basic,51.04,3,132.76,Returning
2024-06-21,9,Morning,Online,Premium,98.44,2,341.9,Returning
2024-09-08,10,Morning,Phone,Deluxe,58.35,3,415.75,Returning
2024-09-08,12,Afternoon,Online,Premium,29.41,2,59.28,New
2025-01-05,14,Afternoon,Online,Basic,91.1,1,210.43,New
2024-08-05,8,Morning,Phone,Premium,39.53,2,126.64,New
2024-12-06,17,Evening,Phone,Premium,63.63,6,426.8,New
2025-03-15,16,Afternoon,Walk-in,Basic,23.88,0,0,New
2024-11-18,8,Morning,Phone,Premium,94.37,6,924.58,New
2024-08-20,8,Morning,Phone,Deluxe,41.47,2,114.4,Returning
2024-08-28,21,Night,Online,Premium,49.66,3,354.42,New
2025-01-05,8,Morning,Phone,Premium,75.68,4,562.55,Returning
2024-08-08,15,Afternoon,Online,Basic,58.48,6,638.72,New
2024-06-16,19,Evening,Online,Basic,50.1,3,313.98,Returning
2024-10-26,18,Evening,Walk-in,Basic,16.96,2,31.68,Returning
2025-01-22,18,Evening,Online,Deluxe,43.88,2,86.9,New
2024-05-09,15,Afternoon,Social Media,Premium,81.02,2,162.28,Returning
2024-11-04,16,Afternoon,Online,Premium,71.96,3,214.65,New
2025-01-17,14,Afternoon,Phone,Premium,54.02,3,294.95,Returning
2024-12-18,13,Afternoon,Online,Deluxe,85.49,3,343.67,Returning
2024-05-26,12,Afternoon,Online,Premium,59.01,4,583.36,Returning
2025-01-26,8,Morning,Walk-in,Premium,68.15,3,342.19,Returning
2024-05-07,9,Morning,Walk-in,Deluxe,55.26,2,186.68,Returning
2025-03-13,18,Evening,Online,Basic,29.1,5,129.55,New
2024-05-13,8,Morning,Phone,Premium,7.15,2,11.61,Returning
2024-12-31,9,Morning,Online,Deluxe,8.82,3,34.79,Returning
2024-06-17,17,Evening,Walk-in,Basic,60.93,4,408.17,New
2024-12-02,9,Morning,Walk-in,Deluxe,92.55,3,445.49,Returning
2025-02-21,14,Afternoon,Phone,Deluxe,26.01,5,135.8,Returning
2024-08-07,10,Morning,Online,Premium,74.78,7,575.21,New
2025-04-25,11,Morning,Walk-in,Premium,15.22,3,90.93,New
2025-03-13,15,Afternoon,Online,Deluxe,39.93,0,0,New
2025-04-26,16,Afternoon,Online,Premium,50.24,0,0,New
2025-02-22,10,Morning,Online,Premium,58.19,4,362.66,Returning
2025-02-05,15,Afternoon,Online,Deluxe,21.88,4,200.2,New
2024-11-02,8,Morning,Social Media,Deluxe,88.94,1,159.88,Returning
2024-10-01,8,Morning,Walk-in,Basic,83.38,5,347.58,Returning
2024-12-20,18,Evening,Online,Basic,5.44,2,10.97,Returning
2024-06-05,12,Afternoon,Phone,Deluxe,7.15,7,79.41,Returning
2024-11-02,17,Evening,Walk-in,Premium,49.26,3,271.55,New
2024-07-12,10,Morning,Online,Basic,76.85,3,430.27,Returning
2024-12-26,8,Morning,Online,Deluxe,14.06,2,69.41,Returning
2024-12-19,21,Night,Online,Premium,78.22,4,664.95,Returning
2024-09-27,18,Evening,Walk-in,Premium,95.39,3,506.18,Returning
2024-10-25,8,Morning,Social Media,Premium,63.99,2,214.43,Returning
2024-08-06,13,Afternoon,Walk-in,Deluxe,69.93,4,554.04,Returning
2024-12-15,18,Evening,Walk-in,Basic,71.62,5,420.08,Returning
2024-11-03,20,Evening,Online,Basic,79.52,2,231.37,Returning
2024-05-21,14,Afternoon,Online,Deluxe,15.88,1,31.52,New
2024-05-13,19,Evening,Online,Deluxe,68.41,3,288.68,Returning
2024-10-30,20,Evening,Social Media,Premium,90.38,8,1783.1,Returning
2025-02-13,13,Afternoon,Phone,Premium,84.28,8,698.76,Returning
2025-01-09,18,Evening,Online,Deluxe,85.86,4,721.19,New
2024-10-27,17,Evening,Walk-in,Basic,97.21,6,1415.65,New
2025-04-02,14,Afternoon,Walk-in,Basic,8.28,3,35.03,Returning
2024-06-11,11,Morning,Walk-in,Basic,15.6,3,75.11,Returning
2025-03-23,12,Afternoon,Phone,Basic,99.77,3,717.94,Returning
2024-09-11,19,Evening,Online,Basic,49.55,3,309.14,Returning
2024-05-04,11,Morning,Online,Premium,64.6,2,302.81,Returning
2024-05-23,13,Afternoon,Online,Deluxe,12.98,1,28.86,Returning
2024-09-02,21,Night,Online,Deluxe,25.75,2,55.52,New
2025-01-27,14,Afternoon,Walk-in,Basic,53.5,4,212.26,Returning
2025-01-25,14,Afternoon,Online,Premium,33.08,0,0,Returning
2024-07-16,19,Evening,Walk-in,Deluxe,28.89,2,134.3,New
2024-07-19,11,Morning,Online,Premium,80.55,2,264.75,Returning
2024-06-21,17,Evening,Walk-in,Basic,85.69,2,294.9,Returning
2024-11-20,20,Evening,Online,Deluxe,23.39,4,132.14,Returning
2025-01-11,12,Afternoon,Online,Basic,69.64,3,314.36,New
2024-09-17,20,Evening,Walk-in,Premium,72.98,6,503.2,Returning
2024-11-27,17,Evening,Online,Premium,59.07,0,0,New
2024-05-31,18,Evening,Walk-in,Premium,22.18,4,143.61,New
2024-11-10,19,Evening,Walk-in,Premium,54.75,1,76.54,New
2024-10-26,14,Afternoon,Phone,Basic,82.02,6,1103.64,New
2024-10-01,16,Afternoon,Social Media,Basic,60.02,6,856.41,Returning
2025-02-05,9,Morning,Online,Basic,73.5,2,298.21,Returning
2024-09-18,10,Morning,Phone,Premium,48.78,2,242.34,Returning
2025-04-22,19,Evening,Online,Deluxe,80.65,2,348.82,New
2024-05-06,12,Afternoon,Online,Deluxe,46.76,8,703.94,Returning
2025-01-02,18,Evening,Online,Deluxe,73.94,3,265.26,New
2024-08-22,18,Evening,Walk-in,Premium,93.15,2,261.04,Returning
2025-04-01,21,Night,Online,Basic,56.49,1,112.6,New
2024-07-20,17,Evening,Phone,Deluxe,62.76,2,225.42,Returning
2025-01-22,15,Afternoon,Online,Basic,38.72,3,244.15,New
2024-08-26,20,Evening,Phone,Deluxe,11.96,4,66.7,Returning
2024-08-11,13,Afternoon,Phone,Premium,68.44,5,313.84,New
2025-01-08,9,Morning,Online,Deluxe,13.47,2,29.3,New
2024-11-28,15,Afternoon,Walk-in,Premium,93.49,4,928.84,Returning
2024-12-16,20,Evening,Online,Deluxe,68.86,1,66.43,New
2024-12-03,21,Night,Online,Premium,41.17,1,46.94,New
2025-02-20,21,Night,Online,Basic,13.32,1,16.06,New
2024-08-31,12,Afternoon,Phone,Deluxe,20.54,2,87.21,Returning
2025-04-10,17,Evening,Walk-in,Premium,16.61,3,116.65,New
2024-12-06,18,Evening,Phone,Deluxe,71.64,3,187.1,New
2024-08-28,13,Afternoon,Social Media,Deluxe,78.86,3,244.26,Returning
2025-01-19,8,Morning,Online,Basic,33.08,4,199.13,New
2024-08-06,14,Afternoon,Online,Deluxe,41.92,5,519.55,New
2025-04-22,11,Morning,Phone,Basic,79.17,2,280.52,New
2025-01-18,15,Afternoon,Phone,Deluxe,94.26,2,385.43,New
2024-12-21,15,Afternoon,Walk-in,Premium,73.81,2,268.09,New
2024-11-28,21,Night,Social Media,Basic,94.7,2,266.35,Returning
2025-01-31,18,Evening,Phone,Basic,92.32,2,217.23,New
2024-09-29,15,Afternoon,Walk-in,Premium,84.4,3,582.74,Returning
2025-03-22,11,Morning,Walk-in,Deluxe,95.96,4,917.69,Returning
2024-11-10,14,Afternoon,Phone,Basic,14.1,4,59.29,Returning
2024-07-15,17,Evening,Phone,Deluxe,10.12,1,24.34,New
2025-01-23,16,Afternoon,Phone,Deluxe,51.91,5,645.44,New
2024-07-16,12,Afternoon,Online,Deluxe,96.29,3,493.42,Returning
2025-01-20,13,Afternoon,Online,Premium,48.77,1,58.35,New
2025-04-27,13,Afternoon,Phone,Premium,67.46,2,127.99,Returning
2025-02-09,17,Evening,Phone,Basic,46.8,0,0,Returning
2024-07-25,19,Evening,Online,Premium,50.41,2,235.99,New
2025-01-07,17,Evening,Phone,Basic,66.15,5,696.31,New
2024-06-14,17,Evening,Online,Deluxe,70.17,2,195.75,New
2024-05-22,12,Afternoon,Online,Deluxe,17.04,2,84.81,New
2024-06-14,8,Morning,Phone,Deluxe,57.53,3,411.31,Returning
2024-05-28,12,Afternoon,Walk-in,Premium,67.46,3,402.36,Returning
2024-07-01,19,Evening,Walk-in,Basic,69.33,1,73.97,Returning
2025-03-29,11,Morning,Online,Basic,90.73,1,136.89,New
2024-06-19,15,Afternoon,Online,Premium,37.72,2,105.42,New
2024-06-30,15,Afternoon,Online,Premium,39.31,4,209.45,New
2024-11-29,15,Afternoon,Online,Deluxe,5.75,1,9.86,New
2024-05-02,19,Evening,Social Media,Deluxe,88.34,3,610.97,Returning
2024-12-08,12,Afternoon,Phone,Basic,46.69,5,571.12,Returning
2025-03-01,16,Afternoon,Online,Premium,18.61,3,135.17,New
2025-01-23,16,Afternoon,Online,Premium,82.9,2,231.11,Returning
2025-01-22,13,Afternoon,Walk-in,Premium,11.54,3,55.69,Returning
2024-08-24,15,Afternoon,Walk-in,Deluxe,11.84,6,110.16,Returning
2025-04-19,11,Morning,Walk-in,Deluxe,70.56,4,286.79,New
2024-06-05,21,Night,Online,Basic,36.92,4,172.75,Returning
2024-05-11,15,Afternoon,Phone,Deluxe,45.5,3,305.67,Returning
2024-06-25,16,Afternoon,Online,Basic,48.47,2,242.17,Returning
2024-10-29,8,Morning,Social Media,Premium,50.2,5,322,New
2025-01-18,11,Morning,Online,Premium,19.9,5,159.33,New
2024-10-29,10,Morning,Social Media,Premium,19.03,2,38.82,Returning
2024-10-07,10,Morning,Phone,Basic,48.5,2,115.44,Returning
2025-02-27,14,Afternoon,Online,Deluxe,6.18,5,36.92,Returning
2024-11-13,16,Afternoon,Walk-in,Premium,73.29,1,87.02,Returning
2025-02-22,20,Evening,Walk-in,Basic,17.39,7,208.4,New
2025-03-18,12,Afternoon,Walk-in,Basic,88.01,1,218.59,New
2024-11-05,9,Morning,Walk-in,Deluxe,81.69,2,270.64,Returning
2024-11-21,9,Morning,Online,Deluxe,58.72,3,172.91,Returning
2024-05-03,21,Night,Walk-in,Deluxe,43.5,5,502.97,New
2024-09-20,9,Morning,Phone,Basic,55.79,3,223.51,Returning
2025-03-10,13,Afternoon,Walk-in,Basic,31.39,2,77.36,Returning
2024-10-12,15,Afternoon,Phone,Basic,32.6,3,162.86,Returning
2025-03-12,14,Afternoon,Phone,Deluxe,13.94,6,84.68,New
2024-10-05,16,Afternoon,Walk-in,Basic,70.8,3,492.76,New
2025-03-22,12,Afternoon,Walk-in,Basic,85.39,3,467.31,New
2024-08-09,13,Afternoon,Online,Premium,78.63,4,354.16,Returning
2024-08-31,20,Evening,Social Media,Deluxe,99.87,4,578.21,Returning
2025-02-19,17,Evening,Walk-in,Basic,43.05,2,171.87,Returning
2024-05-19,20,Evening,Online,Deluxe,61.74,1,98.51,New
2024-06-23,13,Afternoon,Walk-in,Premium,36.52,2,145.93,New
2025-02-26,13,Afternoon,Walk-in,Premium,82.33,1,108.28,Returning
2024-07-05,13,Afternoon,Walk-in,Basic,90.73,3,463.71,New
2024-11-22,17,Evening,Phone,Deluxe,27,4,131.55,New
2025-02-20,14,Afternoon,Online,Deluxe,21.13,5,198.54,New
2025-02-11,18,Evening,Online,Premium,37.03,3,113.93,New
2025-04-25,16,Afternoon,Online,Premium,87.32,3,480.5,Returning
2025-02-19,8,Morning,Phone,Deluxe,62.28,1,88.76,Returning
2024-08-16,8,Morning,Walk-in,Deluxe,77.24,1,179.12,Returning
2024-06-23,13,Afternoon,Online,Deluxe,96.68,3,586.43,New
2025-03-04,21,Night,Walk-in,Deluxe,90.46,5,1055.87,Returning
2024-10-17,19,Evening,Online,Deluxe,92.04,4,324.66,New
2024-09-21,14,Afternoon,Online,Premium,72,5,317.74,New
2025-02-03,9,Morning,Social Media,Premium,82.89,1,134.37,New
2024-08-18,16,Afternoon,Online,Basic,88.73,0,0,Returning
2024-07-07,19,Evening,Online,Deluxe,21.23,3,148.68,Returning
2024-09-03,20,Evening,Walk-in,Basic,43.25,4,362.02,Returning
2025-01-05,12,Afternoon,Online,Premium,31.75,2,96.6,New
2024-12-10,14,Afternoon,Phone,Deluxe,29.42,1,61.94,Returning
2025-01-08,12,Afternoon,Online,Premium,26.14,3,149.85,New
2024-10-12,13,Afternoon,Walk-in,Premium,40.86,3,213,Returning
2024-12-10,11,Morning,Phone,Deluxe,65.8,6,431.73,Returning
2024-10-17,21,Night,Social Media,Premium,7.5,3,41.19,New
2024-12-17,18,Evening,Online,Deluxe,46.02,1,61.37,New
2024-10-15,20,Evening,Online,Basic,86.78,4,586.6,Returning
2024-07-20,12,Afternoon,Online,Deluxe,87.94,1,139.71,New
2024-07-14,8,Morning,Phone,Basic,87,5,873.31,New
2024-11-13,10,Morning,Social Media,Basic,20.94,6,217.4,Returning
2024-11-15,11,Morning,Walk-in,Deluxe,83.04,4,352.31,Returning
2024-07-03,12,Afternoon,Online,Basic,99.87,2,215.14,Returning
2025-04-28,9,Morning,Online,Basic,13.22,1,26.37,New
2025-03-09,16,Afternoon,Walk-in,Premium,92.27,4,701.16,Returning
2024-05-05,12,Afternoon,Phone,Premium,42.37,5,461.48,New
2024-05-21,14,Afternoon,Walk-in,Deluxe,76.6,0,0,New
2025-04-05,11,Morning,Phone,Deluxe,24.92,1,38.82,New
2024-10-14,18,Evening,Phone,Basic,33.25,4,224.85,New
2024-06-08,15,Afternoon,Phone,Deluxe,42.43,4,314.72,Returning
2024-09-06,15,Afternoon,Online,Deluxe,87.56,6,561.4,Returning
2024-12-05,18,Evening,Phone,Basic,50.6,3,236.75,Returning
2025-04-19,20,Evening,Online,Deluxe,85.17,3,578.92,Returning
2024-08-16,21,Night,Online,Basic,79.47,5,523.73,New
2024-10-15,20,Evening,Phone,Deluxe,5.16,3,24.15,Returning
2024-12-04,19,Evening,Social Media,Premium,74.33,5,921.37,New
2024-10-01,8,Morning,Online,Basic,7.78,4,61.75,Returning
2024-05-13,19,Evening,Phone,Basic,36.59,4,260.94,Returning
2024-09-09,10,Morning,Online,Deluxe,22.25,5,215.19,Returning
2025-02-08,11,Morning,Online,Basic,40.57,2,134.04,Returning
2024-07-16,17,Evening,Walk-in,Basic,53.59,5,305.96,Returning
2024-05-07,18,Evening,Walk-in,Premium,29.37,5,139.31,Returning
2025-04-23,9,Morning,Online,Premium,65.7,1,144.87,New
2024-08-09,10,Morning,Social Media,Deluxe,43.72,3,213,Returning
2024-07-09,12,Afternoon,Online,Deluxe,25.28,3,155.09,New
2024-06-26,15,Afternoon,Walk-in,Premium,72.23,1,117.56,Returning
2024-11-22,9,Morning,Walk-in,Deluxe,70.68,6,1050.32,Returning
2025-02-26,20,Evening,Walk-in,Basic,84.43,5,615.38,Returning
2024-05-23,17,Evening,Walk-in,Deluxe,32.91,9,305.52,Returning
2024-12-08,9,Morning,Online,Basic,5.08,1,8.09,Returning
2024-05-16,18,Evening,Walk-in,Basic,72.36,0,0,Returning
2024-08-19,15,Afternoon,Walk-in,Premium,52.59,6,448.02,New
2024-06-07,17,Evening,Online,Deluxe,87.88,0,0,New
2024-10-26,8,Morning,Online,Premium,80.56,1,162.25,New
2024-11-09,19,Evening,Online,Premium,50.39,2,167.65,Returning
2024-08-09,12,Afternoon,Online,Premium,41.91,2,128.33,Returning
2024-11-17,20,Evening,Walk-in,Basic,63.71,2,164.22,New
2024-11-26,21,Night,Phone,Basic,45.24,1,64.82,New
2024-12-19,10,Morning,Online,Premium,88.73,3,314.88,Returning
2024-11-10,14,Afternoon,Walk-in,Premium,44.44,2,165.9,Returning
2024-06-07,9,Morning,Phone,Premium,13.86,4,108.77,New
2024-11-04,16,Afternoon,Social Media,Premium,63.53,6,421.78,Returning
2024-10-16,11,Morning,Phone,Basic,40.23,2,181.81,New
2024-08-12,10,Morning,Online,Premium,18.59,1,15.44,Returning
2024-05-30,20,Evening,Walk-in,Premium,33.48,5,415.74,Returning
2024-06-26,9,Morning,Online,Deluxe,90.14,1,112.55,Returning
2024-07-22,14,Afternoon,Walk-in,Basic,97.26,4,826.55,Returning
2024-08-11,18,Evening,Online,Premium,26.84,3,147.18,New
2024-09-08,9,Morning,Phone,Deluxe,14.82,1,36.66,New
2025-04-11,21,Night,Online,Basic,38.22,6,496.62,New
2024-12-08,9,Morning,Online,Deluxe,23.68,5,271.68,Returning
2024-12-19,9,Morning,Phone,Basic,96.56,3,349.29,Returning
2024-06-14,12,Afternoon,Online,Deluxe,78.37,2,267.14,New
2024-07-27,16,Afternoon,Walk-in,Premium,66.04,4,459.37,New
2025-02-11,11,Morning,Social Media,Deluxe,41.33,5,232.29,New
2024-08-27,20,Evening,Walk-in,Deluxe,15.49,4,112.38,New
2025-04-26,20,Evening,Online,Deluxe,30.78,0,0,Returning
2024-11-14,13,Afternoon,Walk-in,Deluxe,93.24,2,168.33,Returning
2025-03-09,13,Afternoon,Walk-in,Deluxe,74.39,1,159.17,Returning
2024-10-31,10,Morning,Phone,Premium,17.75,7,141.35,Returning
2024-11-11,14,Afternoon,Walk-in,Deluxe,38.58,2,161.62,New
2024-11-07,9,Morning,Phone,Premium,73.64,5,304.33,Returning
2024-09-23,14,Afternoon,Walk-in,Basic,98.15,3,730.05,New
2024-10-05,20,Evening,Phone,Deluxe,86.28,2,394.86,Returning
2024-07-06,11,Morning,Phone,Premium,56.98,1,59.28,New
2024-11-23,21,Night,Walk-in,Basic,94.72,5,928.98,Returning
2025-03-17,15,Afternoon,Phone,Basic,36.86,1,70.1,New
2024-12-21,17,Evening,Walk-in,Deluxe,69.25,4,658.83,Returning
2025-01-25,9,Morning,Walk-in,Premium,96.63,5,660.24,Returning
2024-07-20,9,Morning,Walk-in,Deluxe,67.48,2,239.79,Returning
2024-11-21,20,Evening,Online,Premium,7.52,3,27.96,Returning
2024-12-31,20,Evening,Online,Deluxe,17.31,2,56.95,New
2025-02-11,13,Afternoon,Walk-in,Deluxe,7.18,4,66.14,New
2024-08-01,18,Evening,Online,Deluxe,58.29,5,461.53,Returning
2024-08-12,17,Evening,Walk-in,Deluxe,51.07,4,335.24,New
2025-01-22,20,Evening,Walk-in,Premium,15.7,4,123.55,New
2024-10-30,15,Afternoon,Online,Basic,41.52,1,55.6,Returning
2024-09-27,10,Morning,Walk-in,Premium,87.54,4,438.64,Returning
2024-12-19,8,Morning,Walk-in,Basic,30.87,3,174.74,Returning
2024-10-18,11,Morning,Online,Basic,17.81,1,15.64,New
2024-12-16,9,Morning,Walk-in,Basic,54.88,2,246.95,New
2024-08-26,18,Evening,Online,Basic,38.37,4,176.56,New
2025-04-07,15,Afternoon,Online,Deluxe,68.04,2,254.88,Returning
2024-06-29,18,Evening,Walk-in,Basic,34.27,3,178.9,Returning
2024-08-03,21,Night,Walk-in,Deluxe,41.21,6,582.78,New
2025-04-15,14,Afternoon,Online,Premium,43.75,2,150.11,New
2024-08-11,11,Morning,Phone,Deluxe,58.24,0,0,New
2024-10-04,19,Evening,Phone,Premium,38.68,4,318.62,New
2025-03-08,12,Afternoon,Walk-in,Premium,46.24,4,355.24,Returning
2024-10-22,16,Afternoon,Social Media,Deluxe,71.82,2,132.06,New
2024-12-10,19,Evening,Phone,Premium,16.28,3,76.48,New
2024-12-19,13,Afternoon,Online,Premium,88.75,1,160.81,New
2024-05-08,14,Afternoon,Walk-in,Deluxe,12.1,1,10.49,Returning
2024-11-11,12,Afternoon,Online,Deluxe,49.02,6,523.43,Returning
2025-04-05,17,Evening,Online,Basic,54.4,5,247.68,New
2025-01-26,11,Morning,Online,Premium,45.23,4,234.59,New
2025-04-12,17,Evening,Online,Premium,73.42,1,96.7,New
2025-04-09,10,Morning,Phone,Deluxe,25.84,7,229.35,Returning
2024-10-13,21,Night,Online,Premium,8.62,0,0,New
2025-03-05,16,Afternoon,Walk-in,Basic,37.74,4,193.06,New
2024-06-26,13,Afternoon,Social Media,Basic,39.13,3,141.23,Returning
2025-03-28,8,Morning,Online,Premium,65.36,3,293.68,Returning
2025-03-23,10,Morning,Online,Deluxe,90.88,4,452.29,Returning
2024-07-19,17,Evening,Online,Deluxe,29.6,1,57.68,New
2024-11-26,16,Afternoon,Online,Basic,25.57,3,189.27,Returning
2025-04-11,20,Evening,Social Media,Premium,68.12,3,292.7,New
2025-01-18,13,Afternoon,Social Media,Basic,68.73,8,471.11,Returning
2025-03-02,20,Evening,Walk-in,Premium,55.5,5,430.88,Returning
2024-07-17,18,Evening,Walk-in,Deluxe,81.27,2,306.19,Returning
2025-03-02,8,Morning,Walk-in,Deluxe,53.79,1,105.2,Returning
2025-01-24,10,Morning,Online,Premium,90.29,1,193.32,New
2025-01-25,12,Afternoon,Online,Deluxe,96.47,2,385.89,Returning
2024-06-11,16,Afternoon,Phone,Deluxe,38.04,4,264.98,Returning
2025-03-15,10,Morning,Online,Basic,59.98,1,140.99,Returning
2024-05-06,18,Evening,Online,Premium,77.24,3,369.71,Returning
2024-12-18,20,Evening,Online,Deluxe,46.44,4,162.58,New
2025-02-16,14,Afternoon,Online,Deluxe,57.06,2,177.63,New
2024-06-29,20,Evening,Walk-in,Premium,56.37,3,325.49,New
2025-03-02,18,Evening,Phone,Basic,28.67,4,145.56,New
2025-02-03,9,Morning,Online,Premium,29.22,5,338.9,New
2025-01-30,15,Afternoon,Phone,Premium,40.88,2,74.92,New
2025-04-13,21,Night,Phone,Basic,16.96,4,63.24,New
2024-11-21,19,Evening,Walk-in,Deluxe,72.02,4,687.27,New
2025-01-09,9,Morning,Online,Premium,59.46,2,180.61,Returning
2025-02-18,13,Afternoon,Phone,Premium,86.21,2,336.86,New
2025-02-06,10,Morning,Online,Deluxe,54.6,1,103.01,Returning
2024-12-17,12,Afternoon,Online,Basic,93.46,0,0,New
2024-07-16,18,Evening,Walk-in,Basic,99.63,2,311.5,Returning
2024-07-19,10,Morning,Online,Basic,67.74,1,147.15,Returning
2024-09-07,18,Evening,Walk-in,Deluxe,55.65,3,348.2,New
2025-02-09,10,Morning,Phone,Deluxe,93.34,9,1959.7,New
2024-05-08,18,Evening,Phone,Premium,90.6,3,313.6,Returning
2024-12-05,11,Morning,Walk-in,Premium,54.79,4,175.56,Returning
2024-06-29,14,Afternoon,Online,Basic,32.15,5,259.07,New
2025-03-24,11,Morning,Online,Premium,86.12,2,392.8,Returning
2024-12-17,10,Morning,Walk-in,Premium,17.1,1,19.85,Returning
2024-10-04,16,Afternoon,Phone,Premium,70.28,4,666.09,New
2025-02-13,8,Morning,Walk-in,Premium,54.25,5,638.57,Returning
2025-04-30,20,Evening,Phone,Premium,8.66,2,27.47,Returning
2024-11-09,10,Morning,Online,Premium,8.16,3,50.7,New
2024-09-17,14,Afternoon,Phone,Premium,88.69,2,174.94,New
2024-06-28,18,Evening,Phone,Deluxe,13.09,1,22.08,New
2024-08-05,11,Morning,Phone,Premium,20.37,2,34.35,New
2025-04-26,19,Evening,Online,Deluxe,68.92,3,220.11,New
2024-10-09,18,Evening,Online,Premium,42.75,2,71.66,New
2025-01-08,15,Afternoon,Phone,Deluxe,78.79,2,369.91,New
2025-02-24,13,Afternoon,Online,Basic,13.78,1,11.1,New
2025-02-22,19,Evening,Online,Premium,62.79,1,66.74,New
2025-01-18,9,Morning,Walk-in,Premium,67.97,3,403.1,Returning
2024-07-27,15,Afternoon,Online,Deluxe,92.85,1,184.19,New
2024-09-10,8,Morning,Online,Premium,17.28,2,78.17,Returning
2024-12-19,12,Afternoon,Online,Deluxe,83.24,0,0,Returning
2025-03-07,12,Afternoon,Phone,Deluxe,25.4,7,162.34,Returning
2024-07-06,10,Morning,Walk-in,Deluxe,92.31,2,281.04,New
2024-10-26,13,Afternoon,Online,Basic,57.58,7,807.45,Returning
2024-05-16,15,Afternoon,Phone,Basic,21.26,2,42.14,New
2024-08-09,8,Morning,Online,Basic,26.38,2,52.8,New
2024-07-16,12,Afternoon,Online,Deluxe,48.61,2,118.26,New
